_id,bathrooms,bedrooms,beds,business_travel_ready,city,host_languages,latitude,longitude,monthly_price_factor,name,neighborhood,new_listing,person_capacity,price_rate,price_rate_type,property_type,refundable,reviews_count,room_type,scrim_color,section_offset,star_rating,superhost,tier_id,user_id,user_name,verified,weekly_price_factor
22020289,1.0,1,1,False,Kuta Selatan,"en,fr,id",-8.806187,115.114784,1.0,Romantic Cosy Wooden Bungalow in Bingin,South Kuta/Bukit Peninsula,False,2,57,nightly,43,False,1,entire_home,#2B1005,1,,False,0,76474334,Owie,False,1.0
11483623,1.0,1,1,False,South Kuta,"en,id,ja",-8.806520779393926,115.11706751422895,1.0,Sunny Garden Bungalow by Bingin Beach #1,South Kuta/Bukit Peninsula,False,2,48,nightly,38,False,20,entire_home,#24373D,1,4.5,False,0,4285989,Wayana & Bukit Vista Hosts,False,1.0
1490445,1.0,2,2,True,Ungasan,en,-8.82093,115.152374,1.0,Mango Lodge Bali. Cottage 2,South Kuta/Bukit Peninsula,False,4,46,nightly,11,False,26,entire_home,#32272B,1,4.5,True,0,7969805,Mango,False,1.0
12027235,1.0,1,1,False,Kuta Selatan,"en,id,ja,zh",-8.827442546927761,115.08763600993628,1.0,Hillside Balinese Cabins at the Temple doorstep #2,South Kuta/Bukit Peninsula,False,2,41,nightly,47,False,22,private_room,#3D3D23,1,5.0,False,0,60881004,Bastian & Wayana,False,0.75
17963870,1.0,1,1,False,Kuta Selatan,"en,fr,id,ja,ms,pt,zh",-8.813809279661362,115.10170426041556,1.0,"Chillout Bali Modern Cabin, Easy Walk to Beach",South Kuta/Bukit Peninsula,False,2,49,nightly,3,False,16,private_room,#1E2F1D,1,5.0,False,0,40756665,Kris & Wayana,False,1.0
11245139,1.0,1,1,False,Badung,id,-8.805332275427318,115.11539015942925,1.0,Bingin Wise Monkey Guest House 1,South Kuta/Bukit Peninsula,False,2,48,nightly,2,False,35,entire_home,#3B291D,1,4.5,False,0,55732759,Iwayansukaadnyana,False,0.92
1495823,2.0,2,2,True,Ungasan,en,-8.821926,115.1521,1.0,Mango Lodge Bali. Cottage 3,South Kuta/Bukit Peninsula,False,4,46,nightly,11,False,12,entire_home,#30150E,1,5.0,True,0,7969805,Mango,False,1.0
10774144,1.0,1,1,False,pecatu,id,-8.807091975831465,115.11433129815269,1.0,Chockys place oceanfront room,South Kuta/Bukit Peninsula,False,2,46,nightly,2,False,21,entire_home,#241B12,1,4.5,False,0,55732759,Iwayansukaadnyana,False,1.0
19917422,2.0,2,2,False,Kuta Selatan,,-8.827160503224523,115.140311225144,1.0,Luxury 2BR Lalita Luxury Villa near Surfing Area,South Kuta/Bukit Peninsula,False,4,211,nightly,11,False,0,entire_home,#100B05,1,,False,0,84024699,Keytut,False,1.0
14791149,1.0,2,2,False,Kuta Selatan,"en,id",-8.821759887756942,115.12104354133164,1.0,"Jepun 2 Bedroom Hill Side Villa, Pecatu",South Kuta/Bukit Peninsula,False,4,215,nightly,11,False,0,entire_home,#272B12,1,,False,0,1455923,Nick,False,1.0
